nu	S
2.620069579999999974e+02	5.735999999999999716e-27
2.620070119999999747e+02	1.912000000000000025e-27
2.620595319999999901e+02	7.585000000000000156e-28
2.620650319999999738e+02	1.218000000000000045e-28
2.621533939999999916e+02	6.206999999999999873e-29
2.621763450000000262e+02	3.059000000000000171e-28
2.621776960000000258e+02	1.019999999999999973e-28
2.622637339999999995e+02	4.489000000000000066e-30
2.622774660000000040e+02	3.471999999999999855e-31
2.623850889999999936e+02	6.847999999999999674e-28
2.624089579999999842e+02	7.186999999999999304e-24
2.624130470000000059e+02	2.055000000000000065e-27
2.626116509999999948e+02	1.495999999999999954e-26
2.626116509999999948e+02	4.985999999999999687e-27
2.626848749999999768e+02	1.117999999999999925e-28
2.627753190000000245e+02	4.265999999999999963e-29
2.628245069999999828e+02	6.608999999999999402e-30
2.628320729999999799e+02	1.264000000000000105e-28
2.628383029999999962e+02	8.526999999999999888e-22
2.628738660000000209e+02	3.823000000000000122e-29
2.629116309999999999e+02	3.221999999999999764e-29
2.629227260000000115e+02	6.110000000000000149e-25
2.629471570000000042e+02	3.041999999999999839e-27
2.630385890000000018e+02	5.099000000000000257e-25
2.630843120000000113e+02	2.037999999999999969e-25
2.631438949999999863e+02	1.614999999999999938e-28
2.632693179999999984e+02	1.851000000000000165e-21
2.632696399999999812e+02	3.954000000000000161e-29
2.633474420000000009e+02	1.187000000000000015e-28
2.636242290000000139e+02	1.890999999999999984e-26
2.637149519999999825e+02	8.096000000000000495e-27
2.638545449999999732e+02	2.393000000000000003e-29
2.638593789999999899e+02	7.178000000000000542e-29
2.639989770000000249e+02	1.278000000000000050e-29
2.641964929999999754e+02	8.593999999999999988e-29
2.642476649999999836e+02	7.824000000000000204e-29
2.642689139999999952e+02	9.696999999999999323e-30
2.642957569999999805e+02	1.109999999999999952e-29
2.642977139999999849e+02	3.232999999999999793e-30
2.643371619999999780e+02	1.078000000000000011e-27
2.643376600000000280e+02	3.592000000000000075e-28
2.643539440000000127e+02	1.359000000000000009e-24
2.643586799999999926e+02	4.077999999999999841e-24
2.643686670000000163e+02	6.323000000000000263e-27
2.643968330000000151e+02	9.586999999999999488e-25
2.645104370000000245e+02	3.999000000000000272e-27
2.648545520000000124e+02	6.930999999999999597e-28
2.648714239999999904e+02	2.980999999999999825e-24
2.651387879999999768e+02	2.883000000000000029e-21
2.651542830000000208e+02	1.032000000000000002e-29
2.651717330000000175e+02	2.404000000000000088e-28
2.652259629999999788e+02	9.087999999999999861e-29
2.653135689999999727e+02	1.454999999999999981e-29
2.653315339999999765e+02	4.851999999999999760e-30
2.654315560000000005e+02	3.393999999999999778e-28
2.654738090000000170e+02	1.018000000000000074e-27
2.655444709999999873e+02	3.477000000000000346e-30
2.656629130000000032e+02	1.351999999999999888e-28
2.657268750000000068e+02	4.212999999999999875e-29
2.658247430000000122e+02	3.602999999999999684e-30
2.660244309999999928e+02	1.817000000000000079e-27
2.660244309999999928e+02	5.450000000000000353e-27
2.661949880000000235e+02	1.951000000000000009e-19
2.664537220000000275e+02	1.756000000000000034e-28
2.664561580000000163e+02	5.854000000000000320e-29
2.664618110000000115e+02	8.549000000000000124e-29
2.664978820000000042e+02	2.272999999999999993e-29
2.665542960000000221e+02	2.586000000000000173e-30
2.665954550000000154e+02	4.737000000000000030e-30
2.665955030000000079e+02	1.420999999999999866e-29
2.668439329999999927e+02	3.168000000000000011e-21
2.668455690000000118e+02	9.503000000000000346e-21
2.668595209999999724e+02	3.936000000000000216e-29
2.668976279999999974e+02	2.018000000000000112e-29
2.670593539999999848e+02	5.664000000000000024e-29
2.671280970000000252e+02	6.353999999999999801e-29
2.671598829999999793e+02	3.803999999999999728e-30
2.671713060000000155e+02	1.393999999999999948e-29
2.673152519999999868e+02	3.834000000000000151e-29
2.674087359999999762e+02	8.727000000000000083e-29
2.674261910000000171e+02	1.128999999999999932e-27
2.675245120000000156e+02	1.950999999999999966e-28
2.675594839999999976e+02	8.634999999999999577e-21
2.676694190000000049e+02	3.247999999999999987e-24
2.677578449999999748e+02	2.884000000000000092e-21
2.678871909999999730e+02	4.792999999999999602e-22
2.679671599999999785e+02	4.714000000000000113e-27
2.679771129999999744e+02	8.158999999999999531e-30
2.679774449999999888e+02	2.719000000000000058e-30
2.680109469999999874e+02	2.183000000000000056e-30
2.680418119999999931e+02	3.158999999999999815e-30
2.681073129999999765e+02	1.073000000000000033e-30
2.681077500000000100e+02	5.152000000000000429e-28
